X (cm)	Y (cm)	Z
1.350000	-0.900000	27.870520
1.500000	-0.900000	25.816708
1.650000	-0.900000	23.909302
1.800000	-0.900000	22.196758
1.950000	-0.900000	20.602621
2.100000	-0.900000	19.069510
2.100000	-1.050000	18.085649
1.950000	-1.050000	19.471668
1.800000	-1.050000	20.950274
1.650000	-1.050000	22.557936
1.500000	-1.050000	24.270023
1.350000	-1.050000	26.119335
1.200000	-1.050000	28.113621
1.050000	-1.050000	30.274113
0.900000	-1.050000	32.545918
0.750000	-1.050000	34.994667
0.600000	-1.050000	37.564953
0.450000	-1.050000	40.324593
0.300000	-1.050000	43.208157
0.150000	-1.050000	46.226227
-0.000000	-1.050000	49.382221
-0.150000	-1.050000	52.614056
-0.300000	-1.050000	55.914490
-0.450000	-1.050000	59.195789
-0.600000	-1.050000	62.411987
-0.750000	-1.050000	65.469994
-0.900000	-1.050000	68.295738
-1.050000	-1.050000	70.807220
-1.200000	-1.050000	72.871864
-1.350000	-1.050000	74.450096
-1.500000	-1.050000	75.468796
-1.650000	-1.050000	75.911148
-1.800000	-1.050000	75.764908
-1.950000	-1.050000	75.073891
-2.100000	-1.050000	73.638893
-1.950000	-1.200000	66.974899
-1.800000	-1.200000	67.619308
-1.650000	-1.200000	67.715233
-1.500000	-1.200000	67.311569
-1.350000	-1.200000	66.422646
-1.200000	-1.200000	65.078720
-1.050000	-1.200000	63.304230
-0.900000	-1.200000	61.185616
-0.750000	-1.200000	58.640053
-0.600000	-1.200000	56.157734
-0.450000	-1.200000	53.424835
-0.300000	-1.200000	50.589962
-0.150000	-1.200000	47.789513
0.000000	-1.200000	44.992958
0.150000	-1.200000	42.283272
0.300000	-1.200000	39.634502
0.450000	-1.200000	37.111763
0.600000	-1.200000	34.686684
0.750000	-1.200000	32.401035
0.900000	-1.200000	30.241955
1.050000	-1.200000	28.208439
1.200000	-1.200000	26.290730
1.350000	-1.200000	24.461306
1.500000	-1.200000	22.766422
1.650000	-1.200000	21.242378
1.800000	-1.200000	19.809156
1.950000	-1.200000	18.433348
1.950000	-1.350000	17.310078
1.800000	-1.350000	18.610218
1.650000	-1.350000	19.930984
1.500000	-1.350000	21.307547
1.350000	-1.350000	22.831652
1.200000	-1.350000	24.430208
1.050000	-1.350000	26.150457
0.900000	-1.350000	28.029949
0.750000	-1.350000	29.937342
0.600000	-1.350000	31.942179
0.450000	-1.350000	34.055733
0.300000	-1.350000	36.290535
0.150000	-1.350000	38.599052
-0.000000	-1.350000	40.937313
-0.150000	-1.350000	43.330219
-0.300000	-1.350000	45.762226
-0.450000	-1.350000	48.146969
-0.600000	-1.350000	50.474659
-0.750000	-1.350000	52.703175
-0.900000	-1.350000	54.749153
-1.050000	-1.350000	56.576378
-1.200000	-1.350000	58.080254
-1.350000	-1.350000	59.250702
